id,ChapterName,difficulty,genuine_failure_count,raw_failure_count,failed_models,non_reasoning_models,genuine_failed_models,gemma_label,qwen_label,mistral_label,source,rationale,manual_note,non_reasoning_reason
12,ম্যাট্রিক্স ও নির্ণায়ক,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: found the equation but then instead of simplification started to calculate final value using different a,b,c. Quen: corrupted output Mistral: wrong step while calculating minor determinant",
13,ম্যাট্রিক্স ও নির্ণায়ক,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
14,ভেক্টর,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: Gemma ভুল করেছে: cross product পাওয়ার পর unit scaling না করে সরাসরি \(5\) দিয়ে গুণ করেছে, তাই \(-25\hat i-25\hat j-25\hat k\) পেয়েছে।",
15,ভেক্টর,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: তারা \(\vec a\times\vec b\) নিয়েছে, যা \(\vec a,\vec b\)-এর সমতলের লম্ব, কিন্তু প্রশ্নে চাওয়া vectorটি ওই সমতলের মধ্যেই থাকবে। Mistral: same as Gemma Qwen: didnt solve whole math. Provided a wrong answer without reasoning. May be models are not able...",
16,ভেক্টর,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
17,ভেক্টর,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","All the models missed the point that an intersecting vector will cross the center. হ্যাঁ, যদি প্রশ্নের অর্থ হয় দুটি position vector-এর ছেদবিন্দুগামী সরলরেখা, তাহলে তোমার intuition ঠিক: position vector দুটির common initial point হলো origin বা কেন্দ্র \(O\)।...",
18,ভেক্টর,Easy,0,1,mistral,mistral,,1,1,0,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label
19,ভেক্টর,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Unit issue,
20,ভেক্টর,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Model fails to understand the question properly. Codex can understand.,
21,ভেক্টর,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
24,ভেক্টর,Easy,1,3,"gemma,qwen,mistral","gemma,qwen",mistral,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,MIstral: mistake in minor determinant,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
25,ভেক্টর,Easy,0,3,"gemma,qwen,mistral","gemma,qwen,mistral",,0,0,0,manual_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",Reasoning is ok here. Mainly answer mismatch is related to format. It required 2 answers but only 1 is there.,reasoning ok; answer mismatch is mainly format/incomplete final; reasoning ok; answer mismatch is mainly format/incomplete final; reasoning ok; answer mismatch is mainly format/incomplete final
26,ভেক্টর,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
27,ভেক্টর,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
28,ভেক্টর,Easy,0,0,,,,1,1,1,model_labels_only,"All three target models solved it, or failures are final-format/non-reasoning only.",,
29,ভেক্টর,Easy,1,1,mistral,,mistral,1,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: using cross product for scaler calculation Mistral: its giving vector project while asked scaler in question,
30,ভেক্টর,Easy,1,2,"gemma,mistral",mistral,gemma,0,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: wrong reasoning. For 3 vectors composing a triangle, 2 vector with scaler product 0 is enough. Now even if there is a non zero cross product, triangle is possible",not listed in manual mistake notes; treated as correct/false-positive label
31,ভেক্টর,Easy,1,1,qwen,,qwen,1,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Qwen: made a silly math mistake -(3a-2)=-3a-2,
32,ভেক্টর,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: make mistake while calculating cross product. Wrong formula Qwen: solves cross product but question requires magnitude Mistral: wrong calculation in case of cross product,
33,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",All models didnt take -5 into account only 5 is answered. k^2=25,
34,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: didnt understand the problem. Qwen: made mistake while calculating intercepts from normal form. Mistral: answer is not expected ones. ধরে নিয়েছে রেখা \(LM\)-এর slope . এখানে \(30^\circ\) হচ্ছে normal-এর angle, \(LM\)-এর angle না। রেখা \(LM\) normal-এ...",
35,সরলরেখা,Easy,0,1,gemma,gemma,,0,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label
36,সরলরেখা,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
37,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: প্রদত্ত কর্ণের \(x\)-axis ও \(y\)-axis intercept-কে কর্ণের প্রান্তবিন্দু ধরে নিয়েছে। রেখার intercept কর্ণের endpoint নয়। Qwen: সে প্রদত্ত কর্ণকেই একটি বাহু/রেখা হিসেবে ধরে দিয়েছে, কিন্তু \(A(1,2)\) এই রেখাতেই নেই। তাই এটি \(A\)-গামী বাহু হতে পারে না...",
38,সরলরেখা,Easy,1,1,qwen,,qwen,1,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Qwen: সে \(C\)-কে \(A\) ও \(B\)-এর মাঝখানে internal division হিসেবে ধরেছে। কিন্তু প্রশ্নে বলা আছে \(AB\) রেখা \(C\) পর্যন্ত বর্ধিত করা হয়েছে।,
39,সরলরেখা,Medium,2,3,"gemma,qwen,mistral",qwen,"gemma,mistral",0,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Gemma: made a mistake in the middle of solving the equation. Qwen: correct solution. Got both but only one answer provided in final answer Mistral: wrong equation while solving,correct solution; both roots found but final lists one
40,সরলরেখা,Easy,1,1,mistral,,mistral,1,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Mistral: Mistral ভুল করেছে কারণ সে নতুন রেখা নিয়েছে \[ x+3y+C'=0 \] এবং শুধু origin থেকে তার দূরত্ব \(3\) করেছে। কিন্তু দরকার ছিল প্রদত্ত রেখা \(x+3y-8=0\) থেকে দূরত্ব \(3\)।,
42,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: wrong approach. Have to find angle bisectors. Qwen: wrong to formula to calculate angle bisector Mistral: mistral made a mistake which deciding the sign,
43,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: intersection ঠিক, কিন্তু wrong slope formula। Qwen: slope derivation ভুল, intersection point ব্যবহার করেনি। Mistral: slope যোগ করে bisector ধরেছে, formula ভুল।",
44,সরলরেখা,Medium,2,2,"gemma,mistral",,"gemma,mistral",0,1,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma: \(x\)-অক্ষের সাথে দুই রেখার কোণ \(\alpha\) ও \(\frac{\pi}{2}-\alpha\) না বের করে সরাসরি অন্তর্গত কোণ \(2\alpha\) ধরে নিয়েছে; slope/angle formula ব্যবহার করেনি। Qwen: মূল ধারণা ঠিক ধরেছে: \(\theta=90^\circ-2\alpha\), কোণ দুটিও ঠিক। কিন্তু expected ans...",
45,সরলরেখা,Easy,0,2,"qwen,mistral","qwen,mistral",,1,0,0,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
46,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: intersection পেয়েও angle-bisector condition ব্যবহার করেনি; একই point থেকে slope বের করতে গিয়ে \(0/0\) করে vertical line বানিয়েছে। Qwen: wrong bisector-slope formula ব্যবহার করেছে এবং রেখাটি intersection point দিয়ে নেয়নি। Mistral: \(\tan\theta\)-এর fo...,
47,সরলরেখা,Easy,0,1,gemma,gemma,,0,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label
48,সরলরেখা,Medium,2,2,"qwen,mistral",,"qwen,mistral",1,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma: final সঠিক, reasoning কিছু জায়গায় দুর্বল। Qwen: bisector-এর \(y\)-intercept না বের করে ভুল distance নিয়েছে। Mistral: wrong bisector slopes নিয়েছে।",
49,সরলরেখা,Easy,1,3,"gemma,qwen,mistral","qwen,mistral",gemma,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: main equation ঠিক, কিন্তু \(b=0\) special case ভুল বলেছে।",not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
50,সরলরেখা,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: \((1,9)\)-কে রেখার উপর ধরে ফেলেছে, distance \(6\) condition মানেনি। Qwen: \((7,17)\) দিয়ে যাওয়ার condition মানেনি। Mistral: distance numerator \(8-6m\) না নিয়ে \(10-6m\) করেছে।",
51,সরলরেখা,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: \(D\)-কে perpendicular দিকে না নিয়ে \(AB\)-এর same line extension-এ নিয়েছে।,
52,সরলরেখা,Medium,2,2,"qwen,mistral",,"qwen,mistral",1,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Qwen: slope পেয়েছে, কিন্তু \(A\) বিন্দু না বের করায় \(c\) অজানা রেখেছে। Mistral: সঠিক slope-intercept form থেকে ভুল standard form বানিয়েছে।",
53,সরলরেখা,Medium,2,2,"gemma,mistral",,"gemma,mistral",0,1,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma/Llama: \(60^\circ\) কোণকে given line-এর সাথে না নিয়ে \(x\)-axis-এর সাথে নিয়েছে। Qwen: সঠিক। Mistral: formula ঠিক, কিন্তু rationalization/algebra error-এ একটি slope ভুল হয়েছে।",
54,সরলরেখা,Easy,0,3,"gemma,qwen,mistral","gemma,qwen,mistral",,0,0,0,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
56,সরলরেখা,Easy,1,3,"gemma,qwen,mistral","qwen,mistral",gemma,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: শুধু এক জোড়া parallel দেখে থেমেছে; দ্বিতীয় জোড়া parallel check করেনি। Qwen: parallelogram/square-কে trapezium ধরে নিয়েছে, কিন্তু expected exclusive definition ব্যবহার করেছে। Mistral: parallelogram/square-কে trapezium ধরে নিয়েছে, কিন্তু expected exclu...",definition mismatch: inclusive vs expected exclusive trapezium; definition mismatch: inclusive vs expected exclusive trapezium
57,সরলরেখা,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: \(p\)-এর জন্য normalization factor \(2\sqrt3\) বাদ দিয়েছে। Qwen: \(\cos=\sqrt3/2,\sin=1/2\) থেকেও \(\alpha=60^\circ\) লিখেছে। Mistral: একটি branch ঠিক, কিন্তু দ্বিতীয় branch বাদ।",
58,সরলরেখা,Easy,0,2,"qwen,mistral","qwen,mistral",,1,0,0,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
59,সরলরেখা,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: altitude-কে \(BC\)-এর parallel ধরে নিয়েছে, perpendicular নয়।",
60,সরলরেখা,Easy,1,3,"gemma,qwen,mistral","qwen,mistral",gemma,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: midpoint না নিয়ে \(P\) দিয়ে রেখা বানিয়েছে।,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
61,সরলরেখা,Easy,0,0,,,,1,1,1,manual_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",Gemma: midpoint না নিয়ে \(P\) দিয়ে রেখা বানিয়েছে।,
62,সরলরেখা,Medium,2,2,"gemma,mistral",,"gemma,mistral",0,1,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Gemma: \(y\)-অক্ষের দূরত্ব \(|x|\) ব্যবহার করেনি। Mistral: \(y\)-অক্ষের দূরত্ব \(|y|\) ধরে নিয়েছে।,
63,সরলরেখা,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: \(D\) কে \(BC\)-এর midpoint হিসেবে ঠিকভাবে নেয়নি।,
64,সরলরেখা,Medium,2,2,"qwen,mistral",,"qwen,mistral",1,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Qwen: পাদবিন্দুকে original point ধরে ফেলেছে। Mistral: perpendicular foot solve-এ algebra ভুল।,
65,সরলরেখা,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: common point থেকে \(a=3\) ঠিকভাবে নেয়নি।,
67,সরলরেখা,Easy,1,1,qwen,,qwen,1,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: perpendicular-normal angle থেকে slope ভুল করেছে। Qwen: area condition থেকে constant \(10\) না পেয়ে \(\sqrt2\) করেছে।,
68,সরলরেখা,Easy,1,2,"gemma,mistral",mistral,gemma,0,1,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: generic point-slope line-এ থেমে গেছে। Qwen: correct solution but দুইটির বদলে একটাই রেখা দিয়েছে।,not listed in manual mistake notes; treated as correct/false-positive label
69,সরলরেখা,Easy,1,1,qwen,,qwen,1,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Qwen: ভুল; unnecessary projection/reflection formula ব্যবহার করে জটিল ভগ্নাংশ দিয়েছে। \(y=x\)-এ reflection হলে সরাসরি coordinates swap হয়।,
70,সরলরেখা,Easy,0,3,"gemma,qwen,mistral","gemma,qwen,mistral",,0,0,0,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
71,বৃত্ত,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: নতুন বৃত্তের কেন্দ্রকে সঠিক tangent \(x+2y+3=0\)-এর উপর রেখে equidistance condition solve করেনি। Quen: নতুন বৃত্তের কেন্দ্রকে সঠিক tangent \(x+2y+3=0\)-এর উপর রেখে equidistance condition solve করেনি। Mistral: নতুন বৃত্তের কেন্দ্রকে সঠিক tangent \(x+2...,
72,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: \(C=(0,0)\) ধরেছে, কিন্তু \(AC\) ও \(BC\) তখন লম্ব হয় না। পরে circle equation-ও ভুল/অস্পষ্ট। Qwen: \(C\) কে \((c,0)\) লিখেছে, অথচ \(C\) \(y\)-অক্ষে হওয়ায় হওয়া উচিত \((0,t)\)। সেখান থেকেই solution ভেঙেছে। Mistral: final answer দেয়নি।",
73,বৃত্ত,Easy,1,2,"gemma,qwen",qwen,gemma,0,0,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: tangent point দিয়ে যায় কি না check করেনি। Qwen: normal দিয়েছে, tangent বাদ।(reasoning correct but incomeplete final answer) Mistral: সঠিক।",reasoning mostly correct; incomplete tangent/normal final
74,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","All 3 wrong Gemma/Llama: chord equation বের করেনি। Qwen: radius \(OM\)-কেই chord ধরে ফেলেছে। Mistral: midpoint line নিয়েছে, কিন্তু correct perpendicular chord নয়।",
75,বৃত্ত,Easy,1,2,"qwen,mistral",mistral,qwen,1,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Qwen: center wrongly \((2,3)\) ধরেছে।",not listed in manual mistake notes; treated as correct/false-positive label
76,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: circumcenter-কে centroid ধরে নিয়েছে। Qwen: perpendicular bisector midpoint দিয়ে না নিয়ে endpoint দিয়ে নিয়েছে। Mistral: center equations expand করতে arithmetic ভুল করেছে।,
77,বৃত্ত,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,Gemma: tangent circles-এর radius \(5\pm3\) নেয়নি।,
78,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: \(y\)-অক্ষ থেকে center-এর দূরত্ব \(|x|\), এটা ভুল নিয়েছে। Qwen: \(y\)-অক্ষ থেকে center-এর দূরত্ব \(|x|\), এটা ভুল নিয়েছে। Mistral: \(y\)-অক্ষ থেকে center-এর দূরত্ব \(|x|\), এটা ভুল নিয়েছে।",
79,বৃত্ত,Easy,1,3,"gemma,qwen,mistral","qwen,mistral",gemma,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: \(h\) arbitrary ধরে নিয়েছে, \(x+y=3\) solve করেনি।",not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
80,বৃত্ত,Easy,0,3,"gemma,qwen,mistral","gemma,qwen,mistral",,0,0,0,manual_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.","Gemma: reasoning and calculation ঠিক, কিন্তু final-এ \(AB\) ও area দুটো আলাদা করে দেয়নি। incomplete answer Qwen: reasoning and calculation ঠিক, কিন্তু final-এ \(AB\) ও area দুটো আলাদা করে দেয়নি। incomplete answer Mistral: reasoning and calculation ঠিক, কিন্...",reasoning and calculation correct; final did not list both requested values; reasoning and calculation correct; final did not list both requested values; reasoning and calculation correct; final did not list both requested values
81,বৃত্ত,Medium,2,2,"gemma,qwen",,"gemma,qwen",0,0,1,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma: \(y=2\)-এর tangent হলে center \((3,k)\) হবে, এই মূল geometric condition ধরেনি। Qwen: \(y=2\)-এর tangent হলে center \((3,k)\) হবে, এই মূল geometric condition ধরেনি।",
82,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: সব ভুল model-ই \(y\)-অক্ষের chord length condition \(2\sqrt{k^2-16}=6\) ঠিকভাবে ব্যবহার করেনি। Qwen: সব ভুল model-ই \(y\)-অক্ষের chord length condition \(2\sqrt{k^2-16}=6\) ঠিকভাবে ব্যবহার করেনি। Mistral: সব ভুল model-ই \(y\)-অক্ষের chord length cond...,
83,বৃত্ত,Easy,1,1,gemma,,gemma,0,1,1,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: slope নিয়েছে, কিন্তু center থেকে রেখার distance \(=3\) condition ঠিকভাবে প্রয়োগ করেনি।",
84,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: tangent না বের করে axis intersection বের করেছে। Qwen: equal and opposite intercept condition \(x-y+c=0\) ব্যবহার করেনি। Mistral: equal and opposite intercept condition \(x-y+c=0\) ব্যবহার করেনি।,
85,বৃত্ত,Medium,2,3,"gemma,qwen,mistral",gemma,"qwen,mistral",0,0,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.",Gemma: দুটো root পেলেও final-এ শুধু একটি দিয়েছে। Qwen: quadratic ঠিক পেলেও discriminant arithmetic ভুল। Mistral: quadratic ঠিক পেলেও discriminant arithmetic ভুল।,two roots found but final lists one
86,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.","Gemma: quadratic-এর দুই root থেকে দুইটি circle দরকার, কিন্তু একটাই দিয়েছে। Qwen: quadratic-এর দুই root থেকে দুইটি circle দরকার, কিন্তু একটাই দিয়েছে। Mistral: quadratic-এর দুই root থেকে দুইটি circle দরকার, কিন্তু একটাই দিয়েছে।",
87,বৃত্ত,Medium,2,2,"gemma,mistral",,"gemma,mistral",0,1,0,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma: “শুধু একটিই বৃত্ত” মানে \(PQ\) diameter, তাই \(r=PQ/2\), এটা ধরেনি। Mistral: “শুধু একটিই বৃত্ত” মানে \(PQ\) diameter, তাই \(r=PQ/2\), এটা ধরেনি।",
88,বৃত্ত,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
89,বৃত্ত,Medium,2,2,"gemma,qwen",,"gemma,qwen",0,0,1,manual_note_plus_labels,"Two target models have genuine failures, so the problem has moderate reasoning difficulty.","Gemma: tangent intersection-এর locus original circle নয়, radius \(\sqrt2a\)-এর circle। Qwen: tangent intersection-এর locus original circle নয়, radius \(\sqrt2a\)-এর circle।",
90,বৃত্ত,Hard,3,3,"gemma,qwen,mistral",,"gemma,qwen,mistral",0,0,0,manual_note_plus_labels,"All three target models have genuine failures, indicating a hard reasoning problem.",Gemma: tangent-কে diameter-এর same line ধরে নিয়েছে। Qwen: origin বৃত্তের উপর আছে বুঝতে পারেনি। Mistral: origin দিয়ে যাওয়া diameter line বের করেনি।,
91,বৃত্ত,Easy,0,0,,,,1,1,1,manual_blank_note_plus_labels,"All three target models solved it, or failures are final-format/non-reasoning only.",,
92,বৃত্ত,Easy,1,3,"gemma,qwen,mistral","qwen,mistral",gemma,0,0,0,manual_note_plus_labels,Only one target model has a genuine failure; most models solved the reasoning.,"Gemma: \(y\)-অক্ষকে স্পর্শ করলে radius \(=2\), chord length \(0\), এটা ধরেনি।",not listed in manual mistake notes; treated as correct/false-positive label; not listed in manual mistake notes; treated as correct/false-positive label
